cidade,data,temperatura,descricao,nuvens,dados_climaticos_id
Boa Vista,2024-06-03 00:00:00,25,chuva leve,100,3664980
Boa Vista,2024-06-03 03:00:00,24,chuva leve,99,3664980
Boa Vista,2024-06-03 06:00:00,23,chuva leve,100,3664980
Boa Vista,2024-06-03 09:00:00,23,chuva leve,100,3664980
Boa Vista,2024-06-03 12:00:00,25,chuva leve,100,3664980
Boa Vista,2024-06-03 15:00:00,29,chuva leve,100,3664980
Boa Vista,2024-06-03 18:00:00,31,nublado,100,3664980
Boa Vista,2024-06-03 21:00:00,29,nublado,63,3664980
Boa Vista,2024-06-04 00:00:00,27,nublado,82,3664980
Boa Vista,2024-06-04 03:00:00,25,chuva leve,55,3664980
Boa Vista,2024-06-04 06:00:00,24,chuva leve,44,3664980
Boa Vista,2024-06-04 09:00:00,24,chuva leve,82,3664980
Boa Vista,2024-06-04 12:00:00,25,nublado,90,3664980
Boa Vista,2024-06-04 15:00:00,30,chuva leve,15,3664980
Boa Vista,2024-06-04 18:00:00,31,chuva leve,22,3664980
Boa Vista,2024-06-04 21:00:00,29,chuva leve,19,3664980
Boa Vista,2024-06-05 00:00:00,25,chuva leve,25,3664980
Boa Vista,2024-06-05 03:00:00,24,nublado,68,3664980
Boa Vista,2024-06-05 06:00:00,25,nublado,84,3664980
Boa Vista,2024-06-05 09:00:00,24,chuva leve,100,3664980
Boa Vista,2024-06-05 12:00:00,26,chuva leve,95,3664980
Boa Vista,2024-06-05 15:00:00,30,chuva leve,29,3664980
Boa Vista,2024-06-05 18:00:00,32,chuva leve,29,3664980
Boa Vista,2024-06-05 21:00:00,26,chuva leve,100,3664980
Boa Vista,2024-06-06 00:00:00,26,nublado,72,3664980
Boa Vista,2024-06-06 03:00:00,26,nublado,83,3664980
Boa Vista,2024-06-06 06:00:00,25,nublado,90,3664980
Boa Vista,2024-06-06 09:00:00,24,chuva leve,97,3664980
Boa Vista,2024-06-06 12:00:00,25,chuva leve,100,3664980
Boa Vista,2024-06-06 15:00:00,31,chuva leve,76,3664980
Boa Vista,2024-06-06 18:00:00,32,nuvens dispersas,42,3664980
Boa Vista,2024-06-06 21:00:00,30,nuvens dispersas,37,3664980
Palmas,2024-06-02 00:00:00,27,céu limpo,3,3474574
Palmas,2024-06-02 03:00:00,25,céu limpo,5,3474574
Palmas,2024-06-02 06:00:00,23,algumas nuvens,19,3474574
Palmas,2024-06-02 09:00:00,23,nublado,58,3474574
Palmas,2024-06-02 12:00:00,28,nuvens dispersas,31,3474574
Palmas,2024-06-02 15:00:00,33,céu limpo,1,3474574
Palmas,2024-06-02 18:00:00,35,céu limpo,0,3474574
Palmas,2024-06-02 21:00:00,28,algumas nuvens,22,3474574
Palmas,2024-06-03 00:00:00,26,algumas nuvens,14,3474574
Palmas,2024-06-03 03:00:00,24,céu limpo,6,3474574
Palmas,2024-06-03 06:00:00,24,nuvens dispersas,34,3474574
Palmas,2024-06-03 09:00:00,23,nublado,77,3474574
Palmas,2024-06-03 12:00:00,28,nublado,73,3474574
Palmas,2024-06-03 15:00:00,33,nublado,83,3474574
Palmas,2024-06-03 18:00:00,35,nublado,82,3474574
